wkt_geom,MARKID,MARKTYPE1,MARKTYPE2,MARKNAME1,MARKNAME2,異動日期_西元年月,ADDRESS,TEL,坐標系統
Point (235065.03000000026077032 2634933.01700000092387199),M0000000474,9960101,,臺鐵水里車站,臺鐵水里站,202003,南投縣水里鄉民生路442號,049-2770015,TM2
Point (228086.17100000008940697 2635820.375),M0000000494,9960101,,臺鐵集集車站,臺鐵集集站,202003,南投縣集集鎮民生路75號,049-2762546,TM2
Point (236316.34200000017881393 2636485.03399999998509884),M0000000547,9960101,,臺鐵車埕車站,臺鐵車埕站,201810,南投縣水里鄉車埕村民權巷2號,049-2774749,TM2
Point (231619.54729999974370003 2601578.37570000067353249),M0000005225,9960101,,阿里山林業鐵路對高岳車站,阿里山林鐵對高岳車站,202210,,,TM2
Point (219917.02099999971687794 2636740.00599999912083149),M0000000573,9960101,,臺鐵濁水車站,臺鐵濁水站,202003,南投縣名間鄉濁水村車站路15號,049-2735850,TM2
Point (224543.86880000028759241 2636799.90269999951124191),M0000002531,9960101,,臺鐵龍泉車站,臺鐵龍泉站,202212,南投縣集集鎮隘寮村(無站房),04-8792027,TM2
Point (319988.66199999954551458 2774590.27999999932944775),C0000000231,9960101,,臺鐵百福車站,臺鐵百福站,202001,基隆市七堵區明德三路1之1號,02-24528372,TM2
Point (322051.9469999996945262 2776285.678999999538064),C0000000960,9960101,,臺鐵七堵車站,臺鐵七堵站,201311,基隆市七堵區長興里東新街2號之1,02-24553426,TM2
Point (324699.76599999982863665 2777298.52099999971687794),C0000000596,9960101,,臺鐵暖暖車站,臺鐵暖暖站,202201,基隆市暖暖區暖暖街51號,02-24972033,TM2
Point (323509.76099999994039536 2777976.18099999986588955),C0000000129,9960101,,臺鐵八堵車站,臺鐵八堵站,201311,基隆市暖暖區八南里八堵路142號,02-24560841,TM2
Point (324822.5669999998062849 2779632.99799999967217445),C0000001877,9960101,,臺鐵三坑車站,臺鐵三坑站,202001,基隆市仁愛區龍安街206號,02-24230289,TM2
Point (324464.74700000043958426 2780588.14420000091195107),C0000001680,9960101,,臺鐵基隆車站(南站),臺鐵基隆站(南站),202207,,,TM2
Point (324612.30640000011771917 2780836.2381999995559454),C0000002243,9960101,,臺鐵基隆車站(北站),臺鐵基隆站(北站),202207,基隆市仁愛區文昌里港西街5號,02-24263743,TM2
Point (330956.16399999987334013 2781007.60500000044703484),C0000001890,9960101,,臺鐵八斗子車站,臺鐵八斗子站,202201,基隆市中正區/新北市瑞芳區交界處(無站房),02-24972033,TM2
Point (330650.17599999997764826 2781255.26400000043213367),C0000001888,9960101,,臺鐵海科館車站,臺鐵海科館站,202201,基隆市中正區(無站房),02-24972033,TM2
Point (327967.61400000005960464 2692386.36500000022351742),G0000001662,9960101,,臺鐵漢本車站,臺鐵漢本站,201810,宜蘭縣南澳鄉澳花村蘇花路一段56號,03-9985238,TM2
Point (328659.63599999994039536 2704988.64900000020861626),G0000000021,9960101,,臺鐵武塔車站,臺鐵武塔站,202012,宜蘭縣南澳鄉武塔村新溪路18號,03-9981971,TM2
Point (331205.78100000042468309 2706574.18200000002980232),G0000000026,9960101,,臺鐵南澳車站,臺鐵南澳站,201810,宜蘭縣蘇澳鎮南強里大通路22號,03-9981971,TM2
Point (334173.79399999976158142 2712669.47100000083446503),G0000000084,9960101,,臺鐵東澳車站,臺鐵東澳站,201810,宜蘭縣南澳鄉東岳村1號,03-9986053,TM2
Point (335544.47800000011920929 2718232.59100000001490116),G0000000098,9960101,,臺鐵永樂車站,臺鐵永樂站,201409,宜蘭縣蘇澳鎮永樂里圳頭路60號,03-9961889,TM2
